Program,Category,Sub-Category,Item,Sub-Item,Tagging,Date Received,Location,Lifespan,Warranty Expires,Maintenace
TVL,Animal Production (Swine) (NC II),,"Refrigerator, 7 cu. ft.",,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Sand Bag,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Swine) (NC II),,Semen Transport Box,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Swine) (NC II),,Shovel,,Per Box / Set,,,,,
TVL,Animal Production (Swine) (NC II),,Sow Dummy,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Table,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Training Bag,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,White Board,,Per Item,,,,,
TVL,Animation NC II,,Animation Disc with Light Box Set,,Per Item,,,,,
TVL,Animation NC II,,Eraser,,Consumable / Expendable Items,,,,,
